,vid,name,game,date created,title,duration of broadcast,views
108,255602796,overwatchleague,Overwatch,2018-04-29T00:09:41Z,Full Match | Seoul Dynasty vs. New York Excelsior | Stage 3 Week 4 Day 4,1:50:36,9358
109,255558889,overwatchleague,Overwatch,2018-04-28T21:47:02Z,Full Match | San Francisco Shock vs. London Spitfire | Stage 3 Week 4 Day 4,1:41:06,3395
110,255515947,overwatchleague,Overwatch,2018-04-28T19:45:16Z,Inaugural Season | Stage 3 Week 4 Day 4,6:20:32,136877
111,255306833,overwatchleague,Overwatch,2018-04-28T05:18:58Z,Full Match | Los Angeles Valiant vs. Florida Mayhem | Stage 3 Week 4 Day 3,1:57:01,4246
112,255279161,overwatchleague,Overwatch,2018-04-28T03:27:16Z,Full Match | Los Angeles Gladiators vs. Houston Outlaws | Stage 3 Week 4 Day 3,2:16:20,34061
113,255228170,overwatchleague,Overwatch,2018-04-28T00:50:35Z,Full Match | Dallas Fuel vs. Boston Uprising | Stage 3 Week 4 Day 3,1:43:36,4538
114,255182411,overwatchleague,Overwatch,2018-04-27T22:30:19Z,Inaugural Season | Stage 3 Week 4 Day 3,6:45:57,173408
115,254948939,overwatchleague,Overwatch,2018-04-27T05:34:50Z,Full Match | Seoul Dynasty vs. Philadelphia Fusion | Stage 3 Week 4 Day 2,2:05:49,20927
116,254923638,overwatchleague,Overwatch,2018-04-27T03:27:34Z,Full Match | San Francisco Shock vs. New York Excelsior | Stage 3 Week 4 Day 2,1:58:19,4862
117,254905012,overwatchleague,Overwatch,2018-04-27T02:17:39Z,Full Match | Los Angeles Gladiators vs. London Spitfire | Stage 3 Week 4 Day 2,2:19:26,24546
118,254837672,overwatchleague,Overwatch,2018-04-26T22:45:16Z,Inaugural Season | Stage 3 Week 4 Day 2,6:48:48,117659
119,254599816,overwatchleague,Overwatch,2018-04-26T05:13:23Z,Game 4 DAL @ FLA | Stage 3 Week 4,0:51:33,3284
120,254576908,overwatchleague,Overwatch,2018-04-26T03:31:32Z,Inaugural Season | Stage 3 Week 4 Day 1 | Part 2,1:38:19,37325
121,254568182,overwatchleague,Overwatch,2018-04-26T02:59:13Z,Full Match | Los Angeles Valiant vs. Houston Outlaws | Stage 3 Week 4 Day 1,1:46:24,6204
122,254531928,overwatchleague,Overwatch,2018-04-26T01:03:13Z,Full Match | Shanghai Dragons vs. Boston Uprising | Stage 3 Week 4 Day 1,1:59:31,2718
123,254484644,overwatchleague,Overwatch,2018-04-25T22:45:17Z,Inaugural Season | Stage 3 Week 4 Day 1 | Part 1,4:44:35,76546
124,253099964,overwatchleague,Overwatch,2018-04-22T02:42:01Z,Full Match | Houston Outlaws vs. Dallas Fuel | Stage 3 Week 3 Day 4,2:15:08,11798
125,253099453,overwatchleague,Overwatch,2018-04-22T02:40:11Z,Inaugural Season | Stage 3 Week 3 Day 4,6:51:06,64006
126,253058065,overwatchleague,Overwatch,2018-04-22T00:24:30Z,Full Match | New York Excelsior vs. Los Angeles Gladiators | Stage 3 Week 3 Day 4,2:11:31,27560
127,253014110,overwatchleague,Overwatch,2018-04-21T22:04:29Z,Full Match | London Spitfire vs. Los Angeles Valiant | Stage 3 Week 3 Day 4,2:00:31,17931
128,252962249,overwatchleague,Overwatch,2018-04-21T19:45:18Z,Inaugural Season | Stage 3 Week 3 Day 4,6:51:06,128824
129,252740122,overwatchleague,Overwatch,2018-04-21T04:59:18Z,Full Match | Boston Uprising vs. Seoul Dynasty | Stage 3 Week 3 Day 3,2:00:49,14385
130,252739556,overwatchleague,Overwatch,2018-04-21T04:57:02Z,Inaugural Season | Stage 3 Week 3 Day 3,6:24:25,87193
131,252705386,overwatchleague,Overwatch,2018-04-21T02:57:08Z,Full Match | Florida Mayhem vs. Shanghai Dragons | Stage 3 Week 3 Day 3,1:44:30,3150
132,252667817,overwatchleague,Overwatch,2018-04-21T01:07:52Z,Full Match | Philadelphia Fusion vs. San Francisco Shock  | Stage 3 Week 3 Day 3,1:58:49,4243
133,252614386,overwatchleague,Overwatch,2018-04-20T22:30:19Z,Inaugural Season | Stage 3 Week 3 Day 3,6:24:25,106978
134,252376782,overwatchleague,Overwatch,2018-04-20T06:01:36Z,Full Match | Philadelphia Fusion vs. New York Excelsior | Stage 3 Week 3 Day 2,2:47:40,50496
135,252376692,overwatchleague,Overwatch,2018-04-20T06:01:10Z,Game 5 PHI @ NYE | Stage 3 Week 3,0:50:09,2314
136,252376332,overwatchleague,Overwatch,2018-04-20T05:59:14Z,Inaugural Season | Stage 3 Week 3 Day 2,7:10:56,65760
137,252338565,overwatchleague,Overwatch,2018-04-20T03:13:09Z,Full Match | Boston Uprising vs. London Spitfire | Stage 3 Week 3 Day 2,2:10:25,23636
138,252292920,overwatchleague,Overwatch,2018-04-20T00:55:30Z,Full Match | Houston Outlaws vs. Florida Mayhem | Stage 3 Week 3 Day 2,1:46:18,3590
139,252247519,overwatchleague,Overwatch,2018-04-19T22:45:19Z,Inaugural Season | Stage 3 Week 3 Day 2,7:10:56,107135
140,252008529,overwatchleague,Overwatch,2018-04-19T05:22:12Z,Full Match | Shanghai Dragons vs. Seoul Dynasty | Stage 3 Week 3 Day 1,2:07:19,7891
141,252008466,overwatchleague,Overwatch,2018-04-19T05:21:51Z,Game 4 SHD @ SEO | Stage 3 Week 3,0:48:08,739
142,251979405,overwatchleague,Overwatch,2018-04-19T03:12:27Z,Full Match | Dallas Fuel vs. San Francisco Shock | Stage 3 Week 3 Day 1,1:45:42,8214
143,251944546,overwatchleague,Overwatch,2018-04-19T01:20:05Z,Full Match | Los Angeles Gladiators vs. Los Angeles Valiant | Stage 3 Week 3 Day 1,2:12:07,51189
144,251890650,overwatchleague,Overwatch,2018-04-18T22:45:19Z,Inaugural Season | Stage 3 Week 3 Day 1,6:35:51,147457
145,250518587,overwatchleague,Overwatch,2018-04-15T03:00:17Z,Full Match | Florida Mayhem vs. Boston Uprising | Stage 3 Week 2 Day 4,2:05:25,31732
146,250474544,overwatchleague,Overwatch,2018-04-15T00:40:31Z,Full Match | New York Excelsior vs. Houston Outlaws | Stage 3 Week 2 Day 4,2:20:44,50186
147,250427493,overwatchleague,Overwatch,2018-04-14T22:13:20Z,Full Match | London Spitfire vs. Philadelphia Fusion | Stage 3 Week 2 Day 4,2:08:31,7156
148,250419927,overwatchleague,Overwatch,2018-04-14T21:50:54Z,Game 4 LDN @ PHI | Stage 3 Week 2,1:45:24,826
149,250362327,overwatchleague,Overwatch,2018-04-14T19:15:16Z,Inaugural Season | Stage 3 Week 2 Day 4,7:31:46,129111
150,250169403,overwatchleague,Overwatch,2018-04-14T05:47:33Z,Full Match | Seoul Dynasty vs. Los Angeles Gladiators | Stage 3 Week 2 Day 3,2:16:44,25290
151,250137228,overwatchleague,Overwatch,2018-04-14T03:37:27Z,Full Match | San Francisco Shock vs. Shanghai Dragons | Stage 3 Week 2 Day 3,2:02:31,3874
152,250099737,overwatchleague,Overwatch,2018-04-14T01:44:56Z,Full Match | Los Angeles Valiant vs. Dallas Fuel | Stage 3 Week 2 Day 3,2:16:02,7628
153,250038816,overwatchleague,Overwatch,2018-04-13T22:45:18Z,Inaugural Season | Stage 3 Week 2 Day 3,7:03:15,121962
154,249797068,overwatchleague,Overwatch,2018-04-13T05:46:52Z,Full Match | Philadelphia Fusion vs. Houston Outlaws | Stage 3 Week 2 Day 2,2:23:20,28104
155,249766097,overwatchleague,Overwatch,2018-04-13T03:20:23Z,Full Match | London Spitfire vs. Florida Mayhem | Stage 3 Week 2 Day 2,2:04:37,3228
156,249733344,overwatchleague,Overwatch,2018-04-13T01:34:42Z,Full Match | Boston Uprising vs. New York Excelsior | Stage 3 Week 2 Day 2,2:06:19,24561
157,249676058,overwatchleague,Overwatch,2018-04-12T22:45:18Z,Inaugural Season | Stage 3 Week 2 Day 2,6:58:55,102989
158,249426063,overwatchleague,Overwatch,2018-04-12T05:36:28Z,Full Match | Dallas Fuel vs. Seoul Dynasty | Stage 3 Week 2 Day 1,2:28:08,14070
159,249392376,overwatchleague,Overwatch,2018-04-12T02:58:16Z,Full Match | San Francisco Shock vs. Los Angeles Valiant | Stage 3 Week 2 Day 1,1:52:24,5175
160,249355032,overwatchleague,Overwatch,2018-04-12T01:04:42Z,Full Match | Shanghai Dragons vs. Los Angeles Gladiators | Stage 3 Week 2 Day 1,1:54:42,3430
161,249299243,overwatchleague,Overwatch,2018-04-11T22:10:34Z,Inaugural Season | Stage 3 Week 2 Day 1,7:19:36,109871
162,247862942,overwatchleague,Overwatch,2018-04-07T23:52:26Z,Full Match | New York Excelsior vs. London Spitfire | Stage 3 Week 1 Day 4,1:51:48,7323
163,247825437,overwatchleague,Overwatch,2018-04-07T21:57:37Z,Full Match | Florida Mayhem vs. Philadelphia Fusion | Stage 3 Week 1 Day 4,1:47:48,4605
164,247776495,overwatchleague,Overwatch,2018-04-07T19:45:16Z,Inaugural Season | Stage 3 Week 1 Day 4,6:11:40,124989
165,247523125,overwatchleague,Overwatch,2018-04-07T03:06:02Z,Full Match | Los Angeles Valiant vs. Shanghai Dragons | Stage 3 Week 1 Day 3,1:40:42,4023
166,247485667,overwatchleague,Overwatch,2018-04-07T01:16:56Z,Full Match | Los Angeles Gladiators vs. Dallas Fuel | Stage 3 Week 1 Day 3,2:09:55,8054
167,247432609,overwatchleague,Overwatch,2018-04-06T22:44:19Z,Inaugural Season | Stage 3 Week 1 Day 3,6:37:31,108696
168,247157394,overwatchleague,Overwatch,2018-04-06T03:32:09Z,Full Match | Philadelphia Fusion vs. Boston Uprising | Stage 3 Week 1 Day 2,2:18:20,6608
169,247126327,overwatchleague,Overwatch,2018-04-06T01:47:37Z,Full Match | Florida Mayhem vs. New York Excelsior | Stage 3 Week 1 Day 2,1:59:07,5263
170,247064222,overwatchleague,Overwatch,2018-04-05T22:45:21Z,Inaugural Season | Stage 3 Week 1 Day 2,6:55:19,114386
171,246820391,overwatchleague,Overwatch,2018-04-05T05:27:39Z,Full Match | San Francisco Shock vs. Los Angeles Gladiators | Stage 3 Week 1 Day 1,2:14:56,17012
172,246789551,overwatchleague,Overwatch,2018-04-05T03:08:57Z,Full Match | Los Angeles Valiant vs. Seoul Dynasty | Stage 3 Week 1 Day 1,1:49:24,12129
173,246753705,overwatchleague,Overwatch,2018-04-05T01:16:26Z,Full Match | Shanghai Dragons vs. Dallas Fuel | Stage 3 Week 1 Day 1,2:00:01,15712
174,246692511,overwatchleague,Overwatch,2018-04-04T22:15:19Z,Inaugural Season | Stage 3 Week 1 Day 1,7:01:40,136486
175,243338825,overwatchleague,Overwatch,2018-03-27T02:55:14Z,Watchpoint: Recap Edition | Stage 2 Week 5,0:48:00,22817
